Category,Question,Answer
General,Golden books in how many films did grace kelly appear,Eleven
General,Which day is the first day of Holy Week in the Christian calendar,Palm sunday
General,The transverse entrance hall of a church.,Narthex
General,How did Jamie Sommers become bionic?,From a parachute accident.
Science & Nature,When does the human uterus expand 500 times its normal size?,During pregnancy
Entertainment,Who sang 'That's Alright Mama'?,Elvis Presley
History & Holidays,Who had a hit with the smooth and soulful You To Me Are Everything ?,The Real Thing
General,What is the largest item on any menu in the world,Roast camel
General,Which famous battle took place on July 1st to 3rd 1863,Gettysburg
General,-isms: The social and philosophic creedo of Irish playwright George Bernard Shaw is called:,Shavianism
General,Rustic or awkward person,Bumpkin
General,In which trade are composing frames and sticks used,Printing
General,What is an erythrocyte,Red blood cell
General,What do the letters 'SAM' mean in SAM missiles?,Surface To Air
General,"Which artist, born in Russia in 1887, painted Self Portrait With Seven Fingers, Birthday and Bouquet With Flying Lovers",Marc chagall
General,What is the leaf of a fern called,Frond
General,What was founded in the UK 1694 because of war with France,Bank of England
General,What large red flower is the floral emblem of New South Wales,Waratah
General,Where does the word COP come from,Constable on Patrol
Science & Nature,What Do The Initials E.E.G Stand For,Electroencephalograph
General,What 1970's film came from a pink floyd tune,The wall
General,Who wrote 'weird harold and fat albert',Bill cosby
General,Somebody who rings bells,Campanologist
Science & Nature,"What does the ""lithosphere"" refer to?",The earth's crust
General,Which is the most Northerly African country through which the Greenwich meridian passes,Algeria
General,Karl Landsteiner won a Nobel prize in 1930 for which medical discovery,Blood groups
General,What Crime Has A Person Committed If They Have Been Convicted Of Regicide?,They Have Killed The King
General,What type of acid is used in car batteries,Sulphuric
General,Who was the last King of Troy?,Priam
General,The study of the composition of substances and the changes that they undergo is _________.,Chemistry
Music,"When The Motels Took The ""L"" Out Of Lover It Was What",Over
History & Holidays,The Gold Coast gained its independence from Great Britain in 1957 and renamed itself as what,Ghana
General,How Many Hearts Does The Common Earthworm Have?,10
Sports & Leisure,In which Gymnastics discipline would a man do the scissors?,Pommel Horse
History & Holidays,Which Football Team Became The First To Win The European Cup Winners Cup In 1963,Tottenham (Spurs)
General,What brand of cheese celebrated its 60th birthday in 1988,Velveeta
Toys & Games,How many tiles does a player play to score a bingo in Scrabble,7
General,Pathophobia is the fear of,Disease
Entertainment,What song by Don McLean talks about the day Buddy Holly died?,American Pie
General,Which Novelist Sometimes Writes Under The Pseudonym Richard Bachman?,Stephen King
General,What was the name of Punky Brewster's dog?,Brandon
General,"In Greek mythology, what did the cyclops forge for zeus",Thunderbolts
General,Collective nouns - A gang of what,Elks
General,In what sport would you perform an Adolf,Trampolining forward 3.5 twists
Science & Nature,Name Tin Tin's Canine Companion,Snowy
General,Where does the famous 'running of the bulls' take place,Pamplona
General,What 80's Pro-Wrestler was turned into a G.I. Joe character?,Sgt. Slaughter
Geography,"The Amazon river pushes so much water into the _____________ that, more than a hundred miles at sea, off the mouth of the river, one can dip fresh water out of the ocean and drink it.",Atlantic
General,Who starred as 'ouboet' in the first tv series of 'orkney snork nie',Frank
General,What does a Belly Man do for a living,A Piano Tuner
General,Middle Ages having what creatures in the house was good luck,Ants
Food & Drink,Which type of restaurant popularized the use of conveyor belts?,Sushi Restaurants
General,Who were the co-leaders of rock pile,Edmunds and lowe edmunds and lowe
General,Knismolagnia is sexual arousal from what,Tickling
General,"In which film is the line, 'I could have been a contender'",On the waterfront
General,What word beginning with M is the unit measurement for the brightness of stars,Magnitude
General,Michelle and Julia are songs by which group,The beatles
Art & Literature,Who killed Macbeth?,Macduff
General,What is the fear of nudity known as,Nudophobia
General,Which African country had its capital transferred to Abuja,Nigeria
General,Does 'verbatim' mean 'in the same words' or 'opposite',In the same words
History & Holidays,How do you write 69 in Roman numerals?,LXIX
General,Beside the long winding river is the translation of which US state,Connecticut
General,"What actor was stung in ""the sting""",Robert shaw
History & Holidays,In which country was the Rosetta Stone found,Egypt
Science & Nature,What is an emasculated stallion called?,Gelding
General,In which Dickens novel would you find the characters Jonh Jarndyce and Mrs Jellyby,Bleak house
Science & Nature,Infantile Paralysis is commonly known as ________.,Polio
Science & Nature,What is another name for the prairie wolf?,Coyote
General,"On Which Island Which Is Also A Country Will You Find ""Adams Peak""",Sri Lanka
Music,What band did James Brown tour and record with in the 1950's?,The Famous Flames
Sports & Leisure,Who Was The First Professional Footballer To Be Knighted,Sir Stanley Matthews
General,Which is the only Shakespeare play with the name of an English town in the title,The merry wives of windsor
General,In Britain what are Sing Tao and Weng Wei Po,Chinese Newspapers
General,Colonel Tom Parker Elvis's manager had what earlier act,Dancing Chickens – on hot plate
General,What writer lived at hilltop near Hawkshead now museum to her,Beartrix Potter
History & Holidays,What Was The Contribution Of Actress Mercedes McCambridge To Linda Blairs Performance In The Excorcist,Provided The Devils Voice
General,What color is the tip of a Canada lynx's tail,Black
General,La Celestina was the first one in Spain the first what,Theatre play
General,What was the first mickey mouse cartoon,Plane crazy
General,"What modern word comes from the Arab ""hashishi"" ?",Assassin
General,Hoffman who wrote about a british agent named george smiley,John le carr
General,What is the main food of the oyster catcher,Mussels
General,Bob Fitzsimmons world boxing champion had what middle name,Prometheus
General,Oil seed rape belongs to which plant family,Mustard
General,What first occurred at California Disneyland in March 1981,Murder
General,"Area of commerce that encompasses farming or trapping certain furbearing animals, processing their skins for sale to manufacturers of fur garments, & marketing finished garments to retail outlets",Fur industry
Sports & Leisure,What Colour Caps Do The Australian Cricket Team Wear,Green
General,What is the latin word for 'a junction of three roads',Trivia
General,49% of Americans go out to dinner on what day,Their Birthday
Sports & Leisure,Who Rode Shergar To Victory In The Epsom Derby?,Walter Swinburn
General,Whose normal heartbeat is 242 per minute,Mr Spock in Star Trek
Art & Literature,What Was The Name Of Charles Dickens Last Novel Unfinished At His Death,The Mystery Of Edwin Drood
General,What are The Chiuhauhan Nubian and Alaskan,Deserts
General,What's the seventh sign of the Zodiac,Libra
General,New Zealand's Rugby team is know as the __________________.,All Blacks
Sports & Leisure,At which sport was Fred Perry crowned world champion in 1929?,Table Tennis
Art & Literature,"Who is associated with the address 221B Baker Street, London ?",Sherlock Holmes
Sports & Leisure,In Which Scandanavian Country Is Gambling Illegal,Sweden
General,Which country is the largest producer of cheese,America
Geography,Which state is the Evergreen State,Washington
Science & Nature,What name is given to animals which eat both plants and meat ?,Omnivore
General,What is the most redesigned appliance in the world,Telephone Handset
Music,"Where was ""Can't Buy Me Love"" recorded?","Paris, France"
